shoe_name,url,brand,review_date,price,total_score,audience_score,user_rating,expert_rating,ranking,popularity,ranking_percentile,popularity_percentile,pros,cons,awards,rr_verdict,num_pros,num_cons,num_awards,user_review_count,expert_review_count,terrain,arch,arch_support,use,pace,season,shoe_weight_g,toe_drop_mm,foot_height_mm,heel_stack_lab,heel_lab,forefoot_lab,midsole_softness,difference_in_midsole_softness_in_cold,stiffness,difference_in_stiffness_in_cold,torsional_rigidity,heel_counter_stiffness,toebox_durability,heel_padding_durability,outsole_durability,breathability,lightweight,plate,rocker,waterproofing,size,width_fit,toebox_width,widths_available,orthotic_friendly,for_heavy_runners,drop_mm,drop_lab,weight_lab,strike_pattern,trail_terrain,lug_depth,has_carbon_plate,removable_insole,toe_drop,foot_height,shoe_weight
Saucony Kinvara Pro,https://runrepeat.com/saucony-kinvara-pro,Saucony,2025-05-02,180.0,89.0,89.0,91.0,86.0,73.0,177.0,Top 23%,Bottom 45%,"['Ultra-cushioned for high mileage', ' Incredible stability', ' Ideal for heel-heavy footstrikes', ' Built to last', ' Comfortable PWRRUN+ insole', ' Great for cold weather', ' Reflective touches for low-light runs', ' PWRRUN PB top layer']","['Lacks energy return', ' Narrow toebox', ' Breathability falls below average', ' This is not a Kinvara!']","['Top 25% in road running shoes', ' Top 20% in Saucony running shoes']","We think the Saucony Kinvara Pro tries to blend max-cushion comfort with carbon-plated propulsion but doesn’t quite deliver. On our runs, it felt sluggish and stiff—mainly due to the bottom layer of PWRRUN EVA foam. We also found the toebox extremely narrow in our lab measurements, making it a poor fit for long-distance efforts. However, we were impressed by its top durability, maximalist cushioning, and surprising stability. Still, we find it hard to recommend this shoe over other supertrainers.",8,4,2,3178.0,25.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear']","['Daily running', ' Tempo']",All seasons,269.0,8.0,34.0,,"45.6 mm, 42.0 mm","35.3 mm, 34.0 mm",Balanced,Small,-,-,Stiff,Moderate,Good,Good,Good,Warm,✗,Carbon plate,✗,,True to size,Medium,Narrow,"Normal, Wide",✓,,9.15,"10.3 mm, 8.0 mm","9.9 oz / 281g, 9.5 oz / 269g",Heel,,,True,✓,8 mm,34 mm,Men: 9.5 oz / 269g | Women: 8.5 oz / 240g
Saucony Peregrine 11,https://runrepeat.com/saucony-peregrine-11,Saucony,2021-02-02,120.0,88.0,88.0,89.0,85.0,232.0,507.0,Top 42%,Bottom 9%,"['Outstanding grip', ' Perfect foot lockdown', ' Great for mud', ' ice', ' rocks', ' Durable as a tank']","['For narrow feet only', ' Not breathable', ' Heavy']",[''],"A beast in all my trail runs, the Saucony Peregrine 11 was more than confidence-inspiring! It's a tank that mutes out all the harshness of the trails while eating up everything I throw at it! From slick mud, snow, dry, and rocky stream crossings, this shoe just bites hard and deep into the ground. It's also able to run fast, and I got exactly that in the Peregrine!",6,3,1,12467.0,15.0,Trail,Neutral,Neutral,"['Hiking ', ' Off-trail ', ' Mud']",,-,310.0,4.0,23.0,"27.5 mm, 27.0 mm",,"22.4 mm, 23.0 mm",-,-,Moderate,-,Moderate,-,-,-,-,-,,Rock plate,,,Slightly large,Medium,-,"Normal, Wide",✓,,4.55,"5.1 mm, 4.0 mm","11.2 oz / 318g, 10.9 oz / 310g",Mid/forefoot,Technical,4.4 mm,False,✓,4 mm,23 mm,Men: 10.9 oz / 310g | Women: 9.5 oz / 270g
Saucony Peregrine 12,https://runrepeat.com/saucony-peregrine-12,Saucony,2022-02-02,130.0,86.0,86.0,86.0,87.0,319.0,449.0,Bottom 42%,Bottom 19%,"['Fits true to size', ' Grip is great in good conditions', ' Great cushioning', ' Excellent lockdown', ' Lightweight', ' Breathable', ' Chart-topping laces', ' Vibrant looks']","['Need to keep the same insoles for proper cushioning', ' Some discomfort from overlays']",[''],"The minimal drop trail shoe is a versatile all-rounder for someone who wants that go-anywhere, do-anything shoe. With nice features like a solid outsole and rock plate, the Peregrine 12 really impressed me with being a comfortable, reliable option for tempo work as well as long runs on the trails. Not to mention that it feels so light and well-ventilated!",8,2,1,12621.0,23.0,Trail,Neutral,Neutral,"['Off-trail ', ' Mud']",,-,272.0,4.0,22.5,"30.2 mm, 26.5 mm",,"23.2 mm, 22.5 mm",-,-,Stiff,Normal,-,-,-,-,-,-,,Rock plate,,,True to size,Wide,-,"Normal, Wide",✗,,5.45,"6.9 mm, 4.0 mm","10.1 oz / 285g, 9.6 oz / 272g",Mid/forefoot,Technical,4.6 mm,False,✗,4 mm,22.5 mm,Men: 9.6 oz / 272g | Women: 8.3 oz / 235g
Saucony Peregrine 13,https://runrepeat.com/saucony-peregrine-13,Saucony,2023-03-20,140.0,89.0,89.0,88.0,90.0,163.0,340.0,Top 30%,Bottom 39%,"['Cushioned midsole', ' Protective rock plate', ' Better for longer efforts than the v12', ' A good trail racing option', ' Great traction whether on ice', ' snow', ' gravel', ' and dirt', ' Mud just falls off the outsole', ' Comfy and airy upper', ' Performance-oriented fit', ' No heel slippage', ' Smooth and natural-feeling ride']","['Debris tends to get in', ' Not as fast as other speedwork trail shoes', ' Too-firm midsole']","['Top pick in best trail running shoes (2023)', ' Top 22% in trail running shoes', ' Top 30% in neutral running shoes']","As one of the longest-running trail series, the Peregrine is among the first shoes we think about when going offroad. In our opinion, it can handle nearly anything you throw at it thanks to its tried-and-true comfort, agility, and traction. But what truly puts the v13 above its predecessors is its thicker slab of midsole foam—making it even more capable for easy days, long slow miles, and the occasional race through punishing terrains.",13,3,3,5642.0,10.0,Trail,Neutral,Neutral,"['Hiking', ' Spartan race (OCR) ', ' Off-trail ', ' Mud']",,All seasons,271.0,4.0,24.0,"27.5 mm, 28.0 mm",,"23.6 mm, 24.0 mm",Balanced,Small,Moderate,Normal,Flexible,Moderate,-,-,-,Moderate,,Rock plate,,,True to size,Medium,Narrow,"Normal, Wide",✓,,3.95,"3.9 mm, 4.0 mm","9.6 oz / 271g, 9.6 oz / 271g",Mid/forefoot,Technical,4.8 mm,False,✓,4 mm,24 mm,Men: 9.6 oz / 271g | Women: 8.1 oz / 230g
Saucony Peregrine 14,https://runrepeat.com/saucony-peregrine-14,Saucony,2024-03-31,140.0,89.0,89.0,90.0,86.0,96.0,156.0,Top 30%,Top 49%,"['Natural running feel', ' Superb value at just $140', ' Flexible and comfortable', ' Heel security', ' Plusher tongue', ' Cushioned insole', ' Rock plate', ' Highly versatile']","['Limited energy return', ' Somewhat firm']","['Top pick in best trail running shoes', ' Top pick in best running shoes for beginners', ' Top 24% in trail running shoes', ' Top 29% in Saucony running shoes']","The Saucony Peregrine 14 refines its winning formula with a few precise tweaks. We found that it remains an excellent pick for value, comfort and versatility. We were also pleased to see it address many of its previous shortcomings, such as the thin tongue. Although the ride remains somewhat firm and would benefit from increased energy return, our tests confirm it remains a top contender as one of the best versatile trail shoes for yet another year.",8,2,4,3098.0,16.0,Trail,Neutral,Neutral,"['Hiking ', ' Off-trail ', ' Mud']",,All seasons,267.0,4.0,27.0,"27.3 mm, 31.0 mm",,"25.1 mm, 27.0 mm",Balanced,Small,Moderate,Normal,Moderate,Moderate,Decent,Decent,Good,Moderate,,Rock plate,,,Slightly small,Wide,Medium,"Normal, Wide",✓,,3.1,"2.2 mm, 4.0 mm","9.4 oz / 266g, 9.4 oz / 267g",Mid/forefoot,"Moderate, Technical",4.7 mm,False,✓,4 mm,27 mm,Men: 9.4 oz / 267g | Women: 8.3 oz / 235g
Saucony Ride 14,https://runrepeat.com/saucony-ride-14,Saucony,2021-03-09,130.0,89.0,89.0,89.0,90.0,152.0,400.0,Top 28%,Bottom 28%,"['Durable', ' Breathable', ' Soft', ' luxurious feel', ' True to size', ' No break-in', ' Wide feet friendly', ' Do-it-all trainer']","['A bit stiff underfoot', ' Could be more responsive']","['Top 30% in road running shoes', ' Top 28% in neutral running shoes']","The Saucony Ride 14 is a daily trainer that impressed me with its utilitarian and consistent ride. It stays nice and stable from my short to long-distance runs, offering that peace of mind to run with confidence from start to finish! It's neither too soft nor too firm and can handle just about any type of run - from daily miles, recovery days, to even tempo paces.",8,2,2,16038.0,13.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear ', ' For beginners']",['Daily running'],All seasons,281.0,8.0,24.0,,"33.9 mm, 32.0 mm","24.4 mm, 24.0 mm",-,-,Stiff,Small,Flexible,Stiff,-,-,-,Moderate,,,,,Slightly large,Medium,-,Normal,✓,,8.75,"9.5 mm, 8.0 mm","10.1 oz / 286g, 9.9 oz / 281g","Heel, Mid/forefoot",,,False,✓,8 mm,24 mm,Men: 9.9 oz / 281g | Women: 8.4 oz / 238g
Saucony Ride 15,https://runrepeat.com/saucony-ride-15,Saucony,2022-03-18,130.0,89.0,89.0,88.0,89.0,181.0,283.0,Top 33%,Bottom 49%,"['Lighter than it seems', ' Smooth heel to toe transitions', ' Protective cushion', ' Well-fitting', ' Stable for a neutral shoe', ' Airy for summer runs', ' Tongue stays in place', ' Reflective elements']","['Not for fast runs', ' Gets firmer in cold']","['Top 30% in running shoes for walking', ' Top 15% in Shoes for gym and running']","With comfort and lightness on our feet, the fifteenth version of the Saucony Ride nails it to a T! We actually think that it might be the best Saucony Ride iteration to date! As a workhorse, we love that it's ready to make our short to long runs insanely comfy and easy with its plush cushion and smooth ride. Even more, it's got protection written all over it, so don't worry about achy feet and legs after racking up miles on the pavement.",8,2,2,18982.0,24.0,Road,Neutral,Neutral,"['Gym ', ' Jogging ', ' Walking ', ' All-day wear']",['Daily running'],-,255.0,8.0,27.0,,"31.4 mm, 35.0 mm","24.5 mm, 27.0 mm",Balanced,Normal,Moderate,Normal,Moderate,Stiff,-,-,-,-,✗,,,,True to size,Narrow,-,"Normal, Wide",✓,,7.45,"6.9 mm, 8.0 mm","8.9 oz / 253g, 9 oz / 255g",Mid/forefoot,,,False,✓,8 mm,27 mm,Men: 9 oz / 255g | Women: 7.8 oz / 221g
Saucony Ride 16,https://runrepeat.com/saucony-ride-16,Saucony,2023-08-10,140.0,87.0,87.0,90.0,83.0,265.0,287.0,Top 48%,Bottom 48%,"['Responsive and well-cushioned midsole', ' Good for speedwork', ' Excellent impact dampening', ' Can gobble up miles', ' Provides great stability', ' Secure and comfortable lockdown', ' Grippy and durable outsole capable of mild trails']","['Upper durability leaves much to be desired', ' Break-in period required']",[''],"The Ride 16 is a veritable workhorse from Saucony that does everything we expect from a daily trainer with the underfoot feeling of a performance shoe. What’s more, the shoe’s improved upper provided us with a snug and secure lockdown while the robust platform kept us sure-footed and stable throughout our test runs. While first impressions aren’t the shoe’s strong suit, bearing with the Ride 16 yields a ride that’s smooth, peppy, and comfortable whether we took it for a speedy 5K or a long and slow stretch.",7,2,1,17955.0,11.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear']",['Daily running'],"Summer, All seasons",250.0,8.0,27.0,,"33.3 mm, 35.0 mm","25.4 mm, 27.0 mm",Balanced,Big,Flexible,Normal,Flexible,Stiff,Bad,Bad,Good,Breathable,,,,,Slightly small,Narrow,Medium,"Normal, Wide",✓,,7.95,"7.9 mm, 8.0 mm","9.3 oz / 264g, 8.8 oz / 250g",Mid/forefoot,,,False,✓,8 mm,27 mm,Men: 8.8 oz / 250g | Women: 7.8 oz / 221g
Saucony Ride 17,https://runrepeat.com/saucony-ride-17,Saucony,2024-02-18,140.0,89.0,89.0,91.0,87.0,125.0,91.0,Top 23%,Top 17%,"['Incredible value', ' Most cushioned Ride yet', ' High-volume upper', ' Enhanced stability', ' Upgraded PWRRUN+ midsole', ' Best-in-class durability', ' Superior lockdown']","['Tapered toebox', ' Subpar breathability', ' Could be lighter']","['Top pick in best running shoes for shin splints', ' Top 25% in road running shoes', ' Top 22% in Saucony running shoes', ' Top 17% most popular running shoes']","The Saucony Ride 17 is more than just a minor update—it's a significant overhaul, especially with the all-new midsole that enhances energy return and responsiveness. In our lab tests, we were impressed by its superb durability, remarkable stability and the spacious upper, perfectly accommodating wide feet for a superbly comfortable fit. Despite its strengths, the Ride 17 has some limitations. It remains somewhat heavy for its stack height, and, in our lab tests, the new mesh upper fell really short of our expectations for breathability.",7,3,4,9550.0,26.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear ', ' For beginners']",['Daily running'],All seasons,282.0,8.0,27.0,,"35.1 mm, 35.0 mm","26.6 mm, 27.0 mm",Soft,Small,Moderate,Small,Moderate,Moderate,Decent,Good,Good,Warm,,,✓,,True to size,Medium,Medium,"Normal, Wide",✓,,8.25,"8.5 mm, 8.0 mm","10.2 oz / 288g, 9.9 oz / 282g","Heel, Mid/forefoot",,,False,✓,8 mm,27 mm,Men: 9.9 oz / 282g | Women: 8.4 oz / 238g
Saucony Ride 18,https://runrepeat.com/saucony-ride-18,Saucony,2025-03-21,140.0,90.0,90.0,91.0,88.0,51.0,48.0,Top 16%,Top 15%,"['Massive weight reduction', ' Superb breathability', ' Responsive ride', ' Good option as an everyday shoe', ' PWRRUN+ insole', ' Great vertical room for toe movement', ' Same price as v17', ' Fantastic step-in feel', ' No heel slippage at all']","['Narrow for wide-footer runners', ' Not the best on wet roads', ' Low outsole coverage']","['Top pick in best Saucony running shoes', ' Top 19% in road running shoes', ' Top 15% in Saucony running shoes', ' Top 15% most popular running shoes']","The Saucony Ride 18 fixes the two major issues we had with the v17 by delivering an airy upper and a noticeably lighter feel on foot. We found that it keeps the same springy-and-durable midsole and retains its reasonable price tag. While grip could be better and we wished for a roomier toebox during our long runs, we think this is one of the most value-loaded daily trainers available on the market right now.",9,3,4,2315.0,22.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear ', ' For beginners']",['Daily running'],"Summer, All seasons",269.0,8.0,29.0,,"35.0 mm, 37.0 mm","26.6 mm, 29.0 mm",Balanced,Small,Moderate,Small,Flexible,Flexible,Decent,Good,Good,Breathable,✗,,,,True to size,Medium,Medium,"Normal, Wide",✓,,8.2,"8.4 mm, 8.0 mm","9 oz / 255g, 9.5 oz / 269g","Heel, Mid/forefoot",,,False,✓,8 mm,29 mm,Men: 9.5 oz / 269g | Women: 8.1 oz / 230g
Saucony Sinister,https://runrepeat.com/saucony-sinister,Saucony,2024-01-17,150.0,87.0,87.0,88.0,86.0,153.0,282.0,Top 48%,Bottom 12%,"['Insanely lightweight', ' Outstanding energy return from PWRRUN PB', ' Delivers an impressively quick and enjoyable ride', ' Incredibly flexible for a true natural feel', ' Perfect for enthusiasts of racing flats', ' Excellent for dynamic track workouts', ' Remarkable lockdown for narrow feet', ' Optimal for short to moderate-distance races and tempo runs']","['Falls short in durability', ' Insufficient cushioning for longer distances', ' Would improve a lot with only a tiny bit more foam']",[''],"The Saucony Sinister is a bold, ultra-lightweight racer that brings back old-school racing flat vibes, yet surprises with super-shoe-like energy return thanks to its PWRRUN PB foam. We really appreciated how it's perfect for those who love the raw feel of a track spike but on the road, enjoying a run without the assistance of a carbon plate. While this unique shoe may not be as durable, has a quite narrow upper, and isn't ideal for runs exceeding 10 miles, it stands out in a sea of maximalist designs. In our lab, it provided a refreshingly natural ride that breaks the monotony of the typical rockered, high-stacked shoes.",8,3,1,113.0,6.0,Road,Neutral,Neutral,['Treadmill'],['Tempo'],All seasons,139.0,6.0,19.0,,"25.2 mm, 25.0 mm","17.4 mm, 19.0 mm",Balanced,Small,Flexible,Small,Flexible,Flexible,Bad,Good,Decent,Moderate,✓,,✗,,Slightly small,Narrow,Medium,Normal,✓,,6.9,"7.8 mm, 6.0 mm","5.3 oz / 149g, 4.9 oz / 139g",Mid/forefoot,,,False,✓,6 mm,19 mm,Men: 4.9 oz / 139g | Women: 4.3 oz / 122g
Saucony Tempus,https://runrepeat.com/saucony-tempus,Saucony,2022-06-30,160.0,89.0,89.0,90.0,89.0,75.0,112.0,Top 24%,Top 35%,"['Stable but not aggressive', ' Responsive ride', ' Smooth transitions', ' Outsole is super solid', ' Bites on wet roads', ' Snug and secure fit', ' Breathable on warm days', ' Roomy toe box', ' Not heavy']","['Causes heel rubs', ' Expensive']","['Top pick in best running shoes for flat feet', ' Top pick in best stability running shoes', ' Top 26% in road running shoes', ' Top 24% in Saucony running shoes']","We found the Tempus from Saucony to be an excellent stability running shoe for a variety of paces and distances. Whether we're running slow (just not recovery-day slow), picking up the pace, or running short or long miles, this shoe can handle it. Even more, it's not the type of support shoe that's reserved solely for overpronators (whose feet roll inward). The Saucony Tempus also welcomes neutral runners who want stable strides all the way.",9,2,4,8004.0,20.0,Road,Stability,Stability,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear']","['Daily running', ' Tempo']","Summer, All seasons",252.0,8.0,28.5,,"33.9 mm, 36.5 mm","25.4 mm, 28.5 mm",Soft,Small,Moderate,Small,Moderate,Stiff,-,-,-,Breathable,✗,,✓,,Slightly small,Narrow,-,"Normal, Wide",✓,,8.25,"8.5 mm, 8.0 mm","9.4 oz / 266g, 8.9 oz / 252g","Heel, Mid/forefoot",,,False,✓,8 mm,28.5 mm,8.9 oz / 252g
Saucony Triumph 19,https://runrepeat.com/saucony-triumph-19,Saucony,2021-05-31,150.0,89.0,89.0,90.0,89.0,124.0,399.0,Top 23%,Bottom 28%,"['Comfortable', ' Breathable', ' Grippy', ' True to size', ' Soft ride', ' Losing weight']","['Overly stretchy laces', ' Heel slip']","['Top 25% in road running shoes', ' Top 20% in Saucony running shoes']","When comfort is the top priority, look no further than the Saucony Triumph 19. We enjoyed this plush, luxurious shoe on our cruiser runs, long runs, and recovery days, thanks to its padded upper and insanely soft landing midsole. This year’s Triumph gets a few big updates too, both losing a ton of weight and becoming nice and breathable. Your legs and feet will thank you the next time you lace up the Triumph 19!",6,2,2,18263.0,14.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear']",['Daily running'],-,290.0,8.0,24.5,,"34.6 mm, 32.5 mm","26.3 mm, 24.5 mm",-,-,Stiff,Small,Stiff,Stiff,-,-,-,-,,,✓,,Slightly small,Medium,-,Normal,✓,,8.15,"8.3 mm, 8.0 mm","10.6 oz / 300g, 10.2 oz / 290g","Heel, Mid/forefoot",,,False,✓,8 mm,24.5 mm,10.2 oz / 290g
Saucony Triumph 20,https://runrepeat.com/saucony-triumph-20,Saucony,2022-01-31,160.0,87.0,87.0,88.0,87.0,269.0,217.0,Top 49%,Top 39%,"[""It's now livelier"", ' Comfy as expected', ' Fits like a glove!', "" Heel clutch couldn't be better"", ' No lace bites', ' ...and they stay in place', ' Lighter than before', ' Plush yet breezy upper']","['Price is way up there', "" Rocker geometry isn't as pronounced""]",[''],"The Triumph 20 from Saucony is a daily running shoe that brings back the roots of the OG Triumph. We felt as if the Triumph strayed away from its identity in the past two versions but now it's back, and it's better than ever! The shoe is more cushioned and has some nice bounce to offer. If you want a leg-saving ride that will keep you feeling excited, we cannot recommend the Saucony Triumph 20 enough!",8,2,1,14406.0,21.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear']",['Daily running'],"Summer, All seasons",275.0,10.0,27.0,,"35.4 mm, 37.0 mm","25.0 mm, 27.0 mm",Soft,Normal,Moderate,Normal,Flexible,Moderate,-,-,-,Breathable,,,✓,,Slightly small,Narrow,-,"Normal, Wide",✓,,10.2,"10.4 mm, 10.0 mm","9.9 oz / 282g, 9.7 oz / 275g",Heel,,,False,✓,10 mm,27 mm,Men: 9.7 oz / 275g | Women: 8.6 oz / 243g
Saucony Triumph 21,https://runrepeat.com/saucony-triumph-21,Saucony,2023-09-25,160.0,87.0,87.0,87.0,89.0,278.0,143.0,Top 50%,Top 26%,"['Ready for wide feet', ' Exceptionally cushioned', ' Durable outsole', ' Comfortable and breathable knit upper', ' PWRRUN+ responsive foam', ' Softer midsole than v20', ' Versatile across different running paces', ' Weighs under 10 oz!']","['Not suitable for those with narrow feet', ' Drop might be too high for forefoot strikers']","['Top pick in best treadmill running shoes (2023)', ' Top 26% most popular running shoes']","The Saucony Triumph 21, building on its legacy, offered us in the lab the smooth ride that enthusiasts have always cherished from this saga. This year's version provides unprecedented cushioning, an upgraded PWRRUN+ midsole, and a breathable knit upper. While its outsole intelligently balances weight and durability with strategic cutouts, in our experience, this shoe truly excels as a jack-of-all-trades, particularly for those with wide feet, thanks to its broad design.",8,2,2,6631.0,16.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear']",['Daily running'],All seasons,283.0,10.0,29.0,,"39.1 mm, 39.0 mm","28.6 mm, 29.0 mm",Soft,Normal,Moderate,Small,Stiff,Stiff,Decent,Decent,Good,Moderate,,,✓,,True to size,Medium,Wide,Normal,✓,,10.25,"10.5 mm, 10.0 mm","9.9 oz / 282g, 10 oz / 283g",Heel,,,False,✓,10 mm,29 mm,10 oz / 283g
Saucony Triumph 22,https://runrepeat.com/saucony-triumph-22,Saucony,2024-07-02,160.0,88.0,88.0,91.0,84.0,109.0,58.0,Top 34%,Top 18%,"['Premium cozy upper', ' Bouncy', ' propulsive midsole', ' Excels at easy or moderate long runs', ' Roomy toebox', ' Solid durability', ' Great for heel strikers', ' Tons of cushioning', ' Fairly priced for its features']","['A bit clunky', ' Lacks breathability', ' Increased stiffness']","['Top pick in best comfortable running shoes (2024)', ' Top pick in best running shoes for shin splints', ' Top 1% in Saucony Triumph running shoes', ' Top 18% most popular running shoes']","The Triumph 22 receives arguably its most significant upgrade in a decade with the introduction of the long-awaited PWRRUN PB midsole, which delivers incredible energy return. We were also thrilled to find that it now offers more stability and maintains a decent weight. And Saucony has really raised the bar with the quality and plushness of the upper. While there are minor points of concern, like weight and increased stiffness, these weren't major drawbacks for us.",9,3,4,10870.0,26.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear']",['Daily running'],All seasons,286.0,10.0,27.0,,"38.6 mm, 37.0 mm","28.9 mm, 27.0 mm",Soft,Small,Moderate,Small,Moderate,Stiff,Good,Good,Good,Moderate,,,,,True to size,Medium,Medium,"Normal, Wide",✓,,9.85,"9.7 mm, 10.0 mm","10.1 oz / 286g, 10.1 oz / 286g","Heel, Mid/forefoot",,,False,✓,10 mm,27 mm,Men: 10.1 oz / 286g | Women: 8.8 oz / 249g
Saucony Xodus Ultra,https://runrepeat.com/saucony-xodus-ultra,Saucony,2022-06-06,150.0,87.0,87.0,88.0,86.0,290.0,431.0,Bottom 48%,Bottom 22%,"['Protective cushion', ' Responsive ride', ' Extremely comfy for ultras', ' Grippy on mud and loose ground', ' Breathable', ' Lighter than the Xodus 11', ' Stable platform', ' Wide-feet friendly']","['Midfoot is too roomy', ' Lace change needed for good lockdown']",[''],"The Xodus Ultra from Saucony is a trail running shoe for ultra distances. We definitely felt that it let go of the beefy and burly signature of the past Xodus, shedding off a significant amount of weight. We found that it can go fast and far with its responsive and uber-comfy ride. And if you want a shoe that has protection written all over it, the Saucony Xodus Ultra is IT as we witnessed it crush through both well-groomed and rugged terrains like they're nothing.",8,2,1,1848.0,10.0,Trail,Neutral,Neutral,['Hiking'],,All seasons,292.0,6.0,26.0,"33.9 mm, 32.0 mm",,"26.7 mm, 26.0 mm",Balanced,Normal,Moderate,Normal,Moderate,Moderate,-,-,-,Moderate,,Rock plate,,,True to size,Narrow,-,Normal,✓,,6.6,"7.2 mm, 6.0 mm","10.1 oz / 286g, 10.3 oz / 292g",Mid/forefoot,"Moderate, Technical",3.8 mm,False,✓,6 mm,26 mm,10.3 oz / 292g
Saucony Xodus Ultra 2,https://runrepeat.com/saucony-xodus-ultra-2,Saucony,2024-02-01,150.0,88.0,88.0,87.0,91.0,210.0,416.0,Top 38%,Bottom 25%,"['Snug', ' secure fit', ' Highly breathable', ' Enhanced lacing from v1', ' Responsive midsole', ' Upgraded durability', ' Solid', ' stable feel', ' Long-run-ready cushioning']","['Bootie upper might feel odd to some', ' Slightly heavy for its size', ' Firm cushioning']","['Top pick in best ultra running shoes (2024)', ' Top pick in best running shoes for spartan race (OCR) (2024)', ' Top 28% in trail running shoes', ' Top 30% in running shoes for hiking']","The Xodus Ultra 2 caught our attention in the lab as a versatile trail runner, perfect for those seeking a reliable all-rounder. On our runs, we were impressed by its responsive PWRRUN PB midsole and the robust grip of the PWRTRAC outsole, which, combined with a breathable upper, makes it a jack-of-all-trails. It's ready for anything, even the occasional hike, thanks to its flexibility. While we think Saucony could lighten the weight and soften the foam for future versions, we see this as a solid step up from its predecessor, signaling a bright path ahead for the Xodus series.",9,3,4,1081.0,12.0,Trail,Neutral,Neutral,"['Hiking', ' Spartan race (OCR) ', ' Off-trail ', ' Mud']",,All seasons,262.0,6.0,26.5,"34.1 mm, 32.5 mm",,"26.8 mm, 26.5 mm",Balanced,Small,Moderate,Small,Stiff,Stiff,Bad,Good,Decent,Moderate,,Rock plate,,,Slightly small,Medium,Medium,Normal,✓,✗,6.65,"7.3 mm, 6.0 mm","10.3 oz / 293g, 9.2 oz / 262g",Mid/forefoot,"Moderate, Technical",4.6 mm,False,✓,6 mm,26.5 mm,Men: 9.2 oz / 262g | Women: 8.5 oz / 241g
Saucony Xodus Ultra 3,https://runrepeat.com/saucony-xodus-ultra-3,Saucony,2024-08-15,160.0,83.0,83.0,84.0,90.0,238.0,222.0,Bottom 26%,Bottom 31%,"['More cushioning!', ' Plush and energetic midsole', ' Versatile across various terrains', ' Doubles as a hiking shoe', ' Highly breathable upper', ' Ready for ultras', ' Non-intrusive rock plate', ' Stable despite increased stack', ' Unique PWRRUN+ footbed']","['Lacks reflective elements', ' Weight increase', ' Reduced agility']","['Top pick in best ultra running shoes', ' Top pick in best Saucony trail running shoes']","Saucony keeps tweaking the Xodus Ultra, with the third version being the most cushioned and widest to date. We really appreciated its performance across various terrains and the increased cushioning for enhanced comfort and energy return. However, it has lost some agility and gained weight. Our tests also indicated greater amounts of PWRRUN PB and an improved upper, solidifying its role as a versatile trail shoe.",9,3,2,225.0,4.0,Trail,Neutral,Neutral,"['Hiking ', ' Off-trail ', ' Mud']",,All seasons,288.0,6.0,30.0,"35.1 mm, 36.0 mm",,"29.2 mm, 30.0 mm",Soft,Small,Moderate,Normal,Stiff,Flexible,Decent,Good,Good,Moderate,,Rock plate,,,True to size,Medium,Medium,Normal,✓,,5.95,"5.9 mm, 6.0 mm","10.7 oz / 302g, 10.2 oz / 288g",Mid/forefoot,Technical,4.3 mm,False,✓,6 mm,30 mm,Men: 10.2 oz / 288g | Women: 8.8 oz / 249g
Scarpa Spin Planet,https://runrepeat.com/scarpa-spin-planet,Scarpa,2024-09-26,160.0,89.0,89.0,97.0,91.0,103.0,308.0,Top 32%,Bottom 4%,"['100% recycled upper', ' One-of-a-kind tongue', ' High build quality', ' Breathability', ' Stable ride', ' Fantastic lug design', ' Works for hiking too', ' Great for midfoot strikers']","['Subpar energy return', ' Noticeably heavy', ' No reflective elements']","['Top pick in best running shoes for hiking', ' Top 26% in trail running shoes', ' Top 27% in running shoes for hiking']","The Scarpa Spin Planet impressed us with its cool name and bold design. During our evaluation, we really liked its highly breathable upper and the innovative tongue design that offers a secure and comfortable fit. We also found that this door-to-trail shoe excels in stability and grip, making it suitable for various conditions. However, we were disappointed by the heavier weight and lack of energy return—clear areas that could benefit from significant improvement in future versions.",8,3,3,47.0,9.0,Trail,Neutral,Neutral,['Hiking'],,"Summer, All seasons",290.0,4.0,24.5,"32.8 mm, 28.5 mm",,"26.6 mm, 24.5 mm",Balanced,Normal,Moderate,Small,Stiff,Moderate,Decent,Good,Decent,Breathable,,,,,True to size,Medium,Medium,Normal,✓,,5.1,"6.2 mm, 4.0 mm","11.4 oz / 322g, 10.2 oz / 290g",Mid/forefoot,"Light, Moderate",3.2 mm,False,✓,4 mm,24.5 mm,Men: 10.2 oz / 290g | Women: 9.2 oz / 260g
